"interaction","name","selected","shared interaction","shared name","whichcancer"
"interacts with","miR-20a-5p (interacts with) miR-20a-5p/miR-17-5p","false","interacts with","miR-20a-5p (interacts with) miR-20a-5p/miR-17-5p",""
"interacts with","miR-20a-5p (interacts with) miR-19b-1-5p/miR-20a-5p","false","interacts with","miR-20a-5p (interacts with) miR-19b-1-5p/miR-20a-5p",""
"interacts with","miR-20a-5p (interacts with) miR-19a-3p/miR-20a-5p","false","interacts with","miR-20a-5p (interacts with) miR-19a-3p/miR-20a-5p",""
"interacts with","miR-20a-5p/miR-17-5p (interacts with) CD38","false","interacts with","miR-20a-5p/miR-17-5p (interacts with) CD38","BLCA - UCS"
"interacts with","miR-342-3p (interacts with) miR-342-3p/miR-7-5p","false","interacts with","miR-342-3p (interacts with) miR-342-3p/miR-7-5p",""
"interacts with","miR-342-3p/miR-7-5p (interacts with) FSTL1","false","interacts with","miR-342-3p/miR-7-5p (interacts with) FSTL1","SKCM - LUAD"
"interacts with","miR-642a-5p (interacts with) miR-642a-5p/miR-615-3p","false","interacts with","miR-642a-5p (interacts with) miR-642a-5p/miR-615-3p",""
"interacts with","miR-642a-5p/miR-615-3p (interacts with) GTF3C4","false","interacts with","miR-642a-5p/miR-615-3p (interacts with) GTF3C4","MESO - SKCM"
"interacts with","miR-940 (interacts with) miR-940/miR-221-5p","false","interacts with","miR-940 (interacts with) miR-940/miR-221-5p",""
"interacts with","miR-940 (interacts with) miR-424-5p/miR-940","false","interacts with","miR-940 (interacts with) miR-424-5p/miR-940",""
"interacts with","miR-940/miR-221-5p (interacts with) GPSM1","false","interacts with","miR-940/miR-221-5p (interacts with) GPSM1","SKCM - HNSC"
"interacts with","miR-500a-5p (interacts with) miR-500a-5p/miR-95-3p","false","interacts with","miR-500a-5p (interacts with) miR-500a-5p/miR-95-3p",""
"interacts with","miR-500a-5p/miR-95-3p (interacts with) CCND1","false","interacts with","miR-500a-5p/miR-95-3p (interacts with) CCND1","UCS - LUSC"
"interacts with","miR-196b-5p (interacts with) miR-196b-5p/miR-301a-3p","false","interacts with","miR-196b-5p (interacts with) miR-196b-5p/miR-301a-3p",""
"interacts with","miR-196b-5p/miR-301a-3p (interacts with) PRUNE2","false","interacts with","miR-196b-5p/miR-301a-3p (interacts with) PRUNE2","SARC - COAD"
"interacts with","miR-204-5p (interacts with) miR-204-5p/miR-485-5p","false","interacts with","miR-204-5p (interacts with) miR-204-5p/miR-485-5p",""
"interacts with","miR-204-5p/miR-485-5p (interacts with) CD4","false","interacts with","miR-204-5p/miR-485-5p (interacts with) CD4","TGCT - ACC"
"interacts with","miR-570-3p (interacts with) miR-570-3p/miR-135a-5p","false","interacts with","miR-570-3p (interacts with) miR-570-3p/miR-135a-5p",""
"interacts with","miR-570-3p/miR-135a-5p (interacts with) APP","false","interacts with","miR-570-3p/miR-135a-5p (interacts with) APP","KIRP - KICH"
"interacts with","miR-93-5p (interacts with) miR-93-5p/miR-17-5p","false","interacts with","miR-93-5p (interacts with) miR-93-5p/miR-17-5p",""
